Blog	hands	support	ask	customers	questions	doesn	anyone	our	job	hard	way	able	work	know	making	most	often	never	met	m	going	make	even	mean	part	personal	experience	made	times	those	still	ways	china	us	working	hours	per	week	works	question	run	company	write	should	product	too	listen	learn	same	used	itself	great	always	kind	design	small	also	says	huge	front	must	thing	wouldn	really	would	come	then	trying	d	say	such	back	took	twitter	his	others	own	stories	before	long	something	down	today	released	episode	into	apple	keep	only	number	problems	getting	better	fact	many	problem	makes	isn	start	these	comes	might	did	order	code	red	aren	online	feel	security	team	wrote	blog	post	data	using	access	morning	another	book	good	news	won	age	users	least	school	every	why	course	seem	well	seems	didn	things	different	students	probably	less	while	bad	little	bit	rather	go	think	happy	easter	house	late	night	saturday	real	see	plan	asked	america	report	her	she	talking	point	enough	white	friday	friend	reading	sometimes	far	yet	buy	page	written	together	five	women	research	interview	special	until	putting	line	fire	said	war	children	who	them	u	want	impeachment	read	mueller	through	let	its	lives	believe	deep	country	side	trump	full	may	already	administration	need	once	again	example	both	third	level	take	whole	almost	anything	does	days	talk	find	answer	because	he	power	chance	stuff	thought	public	two	end	right	next	service	between	cars	along	worth	very	use	features	car	legal	whatever	driving	old	without	being	turn	happen	step	learning	maybe	few	weeks	update	big	important	reason	off	having	help	much	change	second	doing	set	entire	couple	including	via	com	april	man	since	nbsp	years	view	pay	against	billion	recent	knew	president	three	last	gift	list	any	everything	high	easy	nothing	given	me	appeared	case	co	him	global	weekend	short	friends	recently	share	favorite	sure	built	try	official	cost	six	left	ten	death	however	especially	someone	else	photos	san	art	giving	four	social	media	possible	launch	matter	early	starting	haven	place	best	love	type	ll	put	machine	whether	turned	though	google	app	called	went	live	games	actually	am	posts	past	future	phone	services	show	release	source	were	idea	website	top	tech	site	later	similar	across	technology	link	yourself	text	web	group	b	each	goes	process	pick	based	members	current	look	home	thanks	free	around	open	could	create	add	user	where	added	screen	fun	happens	saw	yesterday	name	smart	living	likely	perhaps	search	results	wrong	links	hand	simple	photo	record	game	needed	ago	street	world	thrones	everyone	gets	ready	dead	seven	characters	spend	john	universe	building	lot	happened	space	york	city	law	large	tv	during	image	camera	system	version	available	events	editor	according	facebook	series	sunday	save	c	donald	began	decade	latest	outside	year	ever	season	told	state	network	robert	creating	original	sign	face	away	instead	event	stop	whose	boy	edition	netflix	watch	close	content	visit	leaving	hot	kids	music	play	call	office	started	cover	decided	amp	saying	got	email	college	business	seen	wasn	earth	head	finally	following	e	response	project	heart	human	tools	taking	family	life	light	tell	means	videos	youtube	check	calls	stay	miss	science	inspired	found	needs	give	changed	shows	companies	build	behind	key	platforms	director	information	center	understand	video	looking	helping	please	black	created	became	million	local	person	th	pretty	coachella	provide	amazing	remember	months	internet	rules	continue	quite	worked	dogs	attacks	running	done	follow	become	language	within	review	helped	led	nearly	under	word	reasons	hope	month	water	story	readers	seattle	james	among	notes	amazon	cut	earlier	spent	speaking	wanted	piece	worst	self	sense	felt	failure	writing	article	super	money	terms	writers	tells	explain
Signal v. Noise	2	4	2	2	3	2	1	3	2	1	2	1	4	3	2	3	1	1	1	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	3	1	1	3	1	2	2	2	1	1	1	1	1	4	1	1	1	2	1	2	3	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eschaton	3	0	0	0	0	3	2	1	1	1	5	0	0	4	1	0	0	1	0	2	9	1	5	1	1	1	1	1	0	4	0	0	0	1	0	1	2	3	2	0	0	2	1	1	0	4	1	1	0	1	4	2	2	0	0	0	9	1	0	0	0	2	0	1	8	1	3	0	4	1	4	2	0	3	6	0	1	1	2	1	2	1	3	0	0	4	0	0	1	0	0	0	3	1	1	4	1	3	1	3	0	1	5	0	0	0	4	0	0	0	0	2	1	0	0	1	0	6	2	2	5	3	1	2	1	2	2	5	3	2	1	4	1	3	3	1	3	4	1	4	1	3	7	2	1	2	5	3	3	2	1	2	2	1	1	1	1	4	1	2	3	2	1	2	1	1	1	2	1	2	1	1	1	1	1	5	1	1	2	3	2	1	1	1	2	1	5	4	2	3	2	1	2	1	2	5	1	3	2	1	1	4	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	6	1	1	1	1	3	6	3	1	1	1	1	5	1	5	2	1	1	2	1	1	2	1	5	8	3	1	2	1	2	1	1	3	2	1	2	2	2	1	1	1	1	1	2	2	1	1	2	1	1	1	1	3	1	2	3	1	1	1	1	1	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guy Kawasaki	0	0	0	1	0	2	0	0	1	0	0	0	1	0	0	2	1	0	0	4	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	12	0	0	1	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	3	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	2	0	0	0	3	1	0	0	1	0	0	2	0	0	2	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	5	8	2	1	1	2	1	1	2	10	3	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	2	2	1	1	1	1	1	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Google Blogoscoped	0	0	0	0	2	0	1	3	0	0	1	0	1	2	0	3	1	1	0	2	2	3	4	0	0	0	0	2	1	3	0	0	1	1	2	0	0	0	0	4	1	0	0	0	0	2	0	0	1	2	0	0	2	0	1	1	2	1	0	0	0	1	2	0	11	1	3	0	2	0	0	3	1	0	1	1	0	0	0	1	2	1	1	0	0	3	0	0	2	5	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	1	1	1	0	0	0	1	2	0	4	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	2	0	0	1	2	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	2	0	0	5	4	0	2	0	2	0	1	2	1	0	0	0	0	1	0	2	1	1	0	2	1	0	0	2	1	0	1	0	0	0	0	0	0	3	3	5	2	0	0	1	0	0	3	0	1	1	6	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	1	1	2	1	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	2	0	0	0	0	0	0	0	1	0	1	0	0	0	2	4	2	1	6	1	2	1	1	3	28	4	1	1	1	1	2	1	1	2	1	4	1	1	2	4	1	3	1	1	1	4	2	2	2	1	1	1	1	4	7	4	3	1	2	1	1	1	1	1	1	1	2	2	2	1	1	3	2	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gizmodo	2	1	0	0	0	0	1	1	0	0	2	0	0	3	0	3	0	0	0	0	1	1	1	0	0	0	0	1	4	0	2	0	2	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	2	1	1	1	1	1	0	1	1	0	0	1	1	0	2	0	0	2	1	3	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	1	1	0	2	2	2	2	0	0	0	1	0	0	1	1	0	0	0	1	2	1	0	0	0	1	1	0	2	0	3	0	1	3	0	0	0	3	0	0	1	0	0	1	1	2	0	0	0	1	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	1	1	1	0	25	0	0	0	4	0	0	0	0	0	2	0	1	0	2	3	0	0	0	0	3	1	1	0	2	0	0	0	0	1	1	0	0	0	0	0	0	1	2	4	3	2	1	1	0	0	1	1	0	1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	2	0	0	1	0	0	0	1	0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	3	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	1	0	0	0	3	1	0	0	0	1	4	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	1	5	0	1	2	0	0	1	1	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	11	0	0	0	4	6	1	1	1	2	1	2	2	2	1	2	2	1	1	2	1	2	1	1	1	1	3	2	1	1	2	1	2	2	2	2	2	3	1	1	2	1	2	2	2	3	1	2	1	2	1	1	3	1	1	1	2	1	1	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Celebslam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Official Google Blog	4	14	6	6	7	4	0	30	11	0	6	4	16	6	5	10	1	2	0	10	2	17	14	0	3	3	14	7	4	4	2	8	0	11	5	6	2	4	3	2	3	2	0	3	3	2	2	13	2	4	0	1	2	2	7	3	26	13	0	2	1	1	1	3	5	6	8	0	15	10	4	2	2	2	14	2	6	7	2	3	3	3	23	0	1	17	0	7	7	5	2	3	3	2	5	1	3	6	6	15	1	3	1	3	2	0	1	15	1	18	3	0	1	0	53	14	9	2	4	3	4	3	1	1	12	1	5	5	5	3	1	6	0	2	4	4	22	0	1	12	0	4	0	0	2	4	1	0	1	0	4	0	3	6	2	1	5	0	8	8	0	0	1	2	0	1	2	1	1	1	2	2	0	8	11	3	2	0	0	0	1	1	0	3	2	5	15	16	11	12	0	7	0	7	6	2	1	1	1	8	2	0	4	5	5	0	13	1	0	4	4	0	1	2	1	2	0	0	3	0	12	3	6	21	3	1	1	1	5	7	3	4	7	4	2	0	6	2	2	22	5	6	0	0	4	3	5	2	4	2	6	14	0	10	4	2	2	7	1	9	2	19	5	7	1	3	15	0	0	6	0	4	2	1	3	0	8	2	0	0	4	0	2	3	6	5	3	4	10	1	3	6	0	1	6	0	2	3	2	3	5	2	5	1	5	7	6	6	2	0	2	0	1	0	0	0	3	4	0	4	1	0	0	0	2	0	1	6	3	0	4	0	4	6	3	0	12	4	6	8	3	2	120	12	0	0	7	6	0	1	2	0	5	17	3	3	2	1	7	2	3	4	16	12	3	2	7	14	0	0	3	6	3	3	7	2	1	2	6	0	1	7	23	4	8	18	13	2	9	8	10	9	1	3	2	2	3	0	4	3	1	1	1	15	2	0	0	1	0	2	4	11	2	1	1	24	0	6	0	2	0	2	2	2	0	2	2	5	0	0	3	9	1	3	1	6	0	4	2	1	14	2	1	1	1	2	0	2	3	0	1	0	3	3	11	2	0	1	5	2	0	1	1	8	2	2	1	4	2	0	0	0	0	1	0	4	7	0	0	10	11	16	5	6	7	3	3	9	3	2	5	2	13	3	1	4	3	4	4	2	1	4	2	1	13	7	4	5	4	4	3	8	3	8	3	5	1	23	2	3	2	6	3	1	3	7	1	11	2	2	10	11	3	2	3	3	1	1	2	1	9	7	3	1	1	6	5	1	1	5	8	1	2	2	2	2	2	1	1	2	1	1	2	1	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Google Operating System	1	2	1	0	1	2	0	2	0	0	1	2	0	4	0	3	1	2	0	3	1	2	4	0	0	0	0	0	0	3	5	1	0	0	0	0	1	0	2	3	0	0	0	1	2	0	1	0	3	0	0	1	1	0	1	0	9	0	1	0	1	0	0	1	0	0	3	0	1	0	1	4	0	0	0	1	2	0	0	5	2	5	1	0	0	3	0	1	10	0	0	0	1	1	4	0	2	0	1	3	1	0	3	0	0	0	2	0	1	2	1	0	2	1	1	5	1	0	4	0	0	1	1	0	3	0	1	1	1	0	2	2	1	0	1	9	0	1	0	5	0	1	0	0	7	0	0	0	0	0	2	1	1	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	10	0	0	0	1	1	0	3	0	0	1	0	0	0	0	1	3	0	3	0	1	0	0	1	3	0	0	0	0	0	0	2	1	1	0	2	0	2	7	2	0	1	1	0	0	0	0	0	0	1	1	2	0	1	0	0	0	1	0	1	1	5	0	4	0	0	3	2	7	4	0	0	1	1	4	0	0	5	1	0	2	0	1	0	0	0	2	1	2	0	1	2	3	0	0	1	1	0	4	2	2	2	2	2	11	0	1	0	1	2	1	0	0	0	1	0	7	3	0	4	1	0	0	1	0	0	0	0	1	0	0	0	2	3	2	1	0	3	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	1	1	3	1	0	1	7	0	3	2	0	1	108	9	4	0	2	1	1	0	0	0	0	0	0	2	2	1	0	0	0	1	0	4	1	1	0	1	2	0	4	3	0	4	4	0	0	6	1	0	1	3	6	0	1	2	4	0	0	7	0	1	2	4	0	0	0	0	2	3	2	0	0	53	9	0	1	0	0	2	0	2	0	0	1	2	0	2	1	0	0	1	6	0	0	0	0	1	0	0	0	0	0	0	2	0	8	2	5	3	3	1	0	2	0	0	0	0	1	0	0	0	2	0	2	0	1	0	0	3	0	0	1	1	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	4	0	0	2	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	5	1	0	2	2	0	1	5	13	1	0	1	1	0	0	4	1	0	0	18	0	0	0	0	0	0	1	2	1	3	0	1	0	0	0	0	0	2	0	1	2	0	1	0	0	0	1	0	0	0	0	3	0	1	0	0	2	3	1	0	0	0	0	0	1	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Creating Passionate Users	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	0	0	0	1	2	1	2	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	3	4	0	0	0	1	0	0	2	0	0	0	5	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	1	0	1	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Top Picks  Hot Air	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	1	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	2	0	6	0	0	0	0	2	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	2	2	0	1	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	2	0	0	0	1	0	2	4	4	0	0	0	0	0	0	0	0	6	0	3	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	6	0	2	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	2	1	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	25	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	2	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
